time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-06T22:08:25.934Z,40.6297,-109.4651,0,3.2,ml,48,48,0.099,0.43,us,us7000jhra,2023-05-15T02:50:25.040Z,"19 km NNE of Maeser, Utah",mining explosion,3.38,1.719,0.034,112,reviewed,us,us
2023-03-06T21:02:25.363Z,44.094,-105.3881,0,2.9,ml,25,75,0.974,0.68,us,us7000jhqu,2023-05-15T02:50:26.040Z,"16 km SSE of Antelope Valley-Crestview, Wyoming",mining explosion,6.41,1.776,0.057,48,reviewed,us,us
2023-03-04T21:06:14.022Z,44.323,-105.5743,0,2.8,ml,12,110,1.124,0.6,us,us7000jiu3,2023-05-08T02:00:48.040Z,"6 km WNW of Gillette, Wyoming",mining explosion,3.89,1.797,0.069,28,reviewed,us,us
2023-03-03T20:43:23.816Z,43.6592,-105.3747,0,3.1,ml,16,74,1.072,0.67,us,us7000jh68,2023-05-08T02:00:39.040Z,"Wyoming",mining explosion,7.12,1.115,0.053,46,reviewed,us,us
2023-03-02T21:48:51.803Z,45.0149,-106.8829,0,2.5,ml,12,97,1.693,0.72,us,us7000jgx3,2023-05-08T02:00:28.040Z,"24 km NNE of Sheridan, Wyoming",mining explosion,1.91,1.752,0.069,28,reviewed,us,us
2023-03-02T19:05:21.652Z,43.8054,-105.256,0,3.2,ml,19,69,0.936,0.66,us,us7000jgvg,2023-05-08T02:00:25.040Z,"19 km ENE of Wright, Wyoming",mining explosion,5.37,1.339,0.045,64,reviewed,us,us
2023-03-01T19:00:46.884Z,43.8562,-105.2648,0,3.2,ml,18,86,0.926,0.82,us,us7000jgmn,2023-05-08T02:00:11.040Z,"21 km ENE of Wright, Wyoming",mining explosion,5.25,1.34,0.049,54,reviewed,us,us
2023-02-23T23:30:18.707Z,45.0044,-106.8851,0,3.5,ml,14,97,1.692,0.85,us,us6000jr51,2023-04-29T21:57:31.040Z,"23 km NNE of Sheridan, Wyoming",mining explosion,2.14,1.617,0.041,77,reviewed,us,us
2023-02-21T19:02:57.997Z,43.7782,-105.3212,0,3.2,ml,38,41,0.99,1.2,us,us6000jqlt,2023-04-29T21:57:22.040Z,"14 km ENE of Wright, Wyoming",mining explosion,4.46,1.924,0.041,78,reviewed,us,us
2023-02-20T20:13:26.527Z,43.7379,-105.3116,0,3.5,ml,18,78,0.998,1.15,us,us6000jqe0,2023-04-29T21:57:18.040Z,"14 km E of Wright, Wyoming",mining explosion,3.96,1.707,0.043,72,reviewed,us,us
2023-02-18T21:02:14.585Z,43.7977,-105.2297,0,3.1,ml,18,82,0.921,0.65,us,us6000jpzc,2023-04-22T21:33:00.040Z,"21 km ENE of Wright, Wyoming",mining explosion,4.79,1.772,0.046,62,reviewed,us,us
2023-02-18T20:20:59.596Z,43.6148,-105.2392,0,3.2,ml,13,124,1.007,0.81,us,us6000jpz0,2023-04-22T21:33:00.040Z,"25 km SE of Wright, Wyoming",mining explosion,5.17,1.737,0.047,60,reviewed,us,us
2023-02-17T19:27:31.183Z,45.8453,-106.6314,0,3.3,ml,58,30,0.89,0.92,us,us6000jpr6,2023-04-22T21:33:00.040Z,"4 km S of Colstrip, Montana",mining explosion,3.36,1.808,0.046,62,reviewed,us,us
2023-02-16T22:16:54.438Z,49.6491,-114.8479,0,2.7,ml,17,126,0.914,0.39,us,us6000jr95,2023-04-22T21:33:01.040Z,"9 km SSE of Sparwood, Canada",mining explosion,4.72,1.678,0.064,32,reviewed,us,us
2023-02-16T21:43:25.818Z,44.3394,-105.5579,0,3,ml,11,111,1.116,0.63,us,us6000jpg2,2023-04-22T21:33:00.040Z,"6 km NW of Gillette, Wyoming",mining explosion,4.39,1.819,0.062,34,reviewed,us,us
2023-02-16T18:26:16.452Z,45.182,-106.7841,0,3.1,ml,27,65,1.557,0.79,us,us6000jpf6,2023-04-22T21:33:00.040Z,"26 km SW of Birney, Montana",mining explosion,3.25,1.715,0.049,55,reviewed,us,us
2023-02-15T21:07:28.553Z,43.799,-105.3677,0,3.1,ml,19,82,1.014,0.34,us,us6000jp88,2023-04-22T21:33:00.040Z,"11 km ENE of Wright, Wyoming",mining explosion,4.62,1.718,0.048,72,reviewed,us,us
2023-02-15T19:15:44.830Z,44.0069,-105.5016,0,2.8,ml,16,97,1.063,0.59,us,us6000jr1b,2023-04-22T21:33:00.040Z,"24 km S of Antelope Valley-Crestview, Wyoming",mining explosion,4.21,1.701,0.064,32,reviewed,us,us
2023-02-13T19:06:51.193Z,43.7918,-105.2802,0,3.3,ml,18,74,0.957,0.81,us,us6000jnm9,2023-04-22T21:33:00.040Z,"17 km ENE of Wright, Wyoming",mining explosion,4.15,1.651,0.049,54,reviewed,us,us
2023-02-12T21:01:57.116Z,43.8471,-105.3037,0,2.8,ml,15,111,0.955,0.56,us,us6000jqce,2023-04-22T21:33:00.040Z,"18 km NE of Wright, Wyoming",mining explosion,6.02,1.755,0.077,22,reviewed,us,us
2023-02-12T18:15:47.292Z,43.6209,-105.2818,0,3,ml,15,123,1.031,0.98,us,us6000jqcd,2023-04-22T21:33:00.040Z,"22 km SE of Wright, Wyoming",mining explosion,5.44,1.793,0.059,42,reviewed,us,us
2023-02-09T20:24:14.905Z,43.6403,-105.3445,0,3.4,ml,15,73,1.061,0.58,us,us6000jmuu,2023-04-15T21:39:52.040Z,"17 km SE of Wright, Wyoming",mining explosion,3.18,1.745,0.045,64,reviewed,us,us
2023-02-07T21:26:09.353Z,43.7319,-105.2355,0,3.4,ml,43,37,0.95,0.6,us,us6000jmca,2023-04-15T21:39:45.040Z,"20 km E of Wright, Wyoming",mining explosion,6.43,1.925,0.048,69,reviewed,us,us
2023-02-05T20:00:13.058Z,43.7322,-105.3797,0,3.4,ml,23,72,1.046,0.41,us,us6000jlkn,2023-04-15T21:39:33.040Z,"9 km ESE of Wright, Wyoming",mining explosion,7.35,1.66,0.049,69,reviewed,us,us
2023-02-03T21:24:00.182Z,45.089,-106.9324,0,3.3,ml,10,155,1.654,0.41,us,us6000jl9i,2023-04-13T21:53:22.040Z,"Eastern Montana",mining explosion,3.33,1.741,0.045,64,reviewed,us,us
2023-02-02T21:52:59.481Z,40.6383,-109.4868,0,3.1,ml,12,136,0.092,0.41,us,us6000jl1z,2023-04-13T21:53:19.040Z,"Utah",mining explosion,2.22,1.588,0.032,126,reviewed,us,us
2023-02-02T18:58:51.282Z,43.8198,-105.2621,0,3.3,ml,33,55,1.489,1.06,us,us6000jl16,2023-04-13T21:53:19.040Z,"Wyoming",mining explosion,4.71,1.652,0.047,60,reviewed,us,us
2023-01-29T22:21:23.436Z,43.567,-105.1911,0,3,ml,19,108,1.003,0.41,us,us6000jk7m,2023-04-13T21:53:09.040Z,"31 km SE of Wright, Wyoming",mining explosion,3.53,1.915,0.064,32,reviewed,us,us
2023-01-28T21:03:19.036Z,43.7237,-105.3381,0,3.5,ml,11,103,1.021,0.9,us,us6000jk1w,2023-04-11T18:51:26.040Z,"12 km ESE of Wright, Wyoming",mining explosion,3.53,1.745,0.041,78,reviewed,us,us
2023-01-28T19:08:53.426Z,43.772,-105.3492,0,3.3,ml,16,80,1.011,0.27,us,us6000jk14,2023-04-11T18:51:26.040Z,"11 km ENE of Wright, Wyoming",mining explosion,5.75,1.74,0.043,70,reviewed,us,us
2023-01-28T00:47:59.560Z,63.9266,-148.9525,0,2.5,ml,,,,0.85,ak,ak0231abbx13,2023-02-08T03:48:43.684Z,"7 km N of Healy, Alaska",explosion,,0,,,reviewed,ak,ak
2023-01-23T19:01:00.494Z,43.7513,-105.3537,0,4.1,mb,24,69,1.021,0.89,us,us6000jis8,2023-04-11T18:51:26.040Z,"11 km E of Wright, Wyoming",mining explosion,7.01,1.452,0.371,2,reviewed,us,us
2023-01-19T19:00:22.548Z,44.3885,-105.4576,0,3.2,ml,15,117,1.056,0.56,us,us7000j5l0,2023-03-31T19:46:11.040Z,"11 km NNE of Gillette, Wyoming",mining explosion,5.38,1.771,0.045,64,reviewed,us,us
2023-01-17T21:46:19.566Z,45.8169,-106.704,0,3.2,ml,32,63,0.933,0.44,us,us7000j503,2023-03-31T19:46:11.040Z,"9 km SW of Colstrip, Montana",mining explosion,4.82,1.803,0.051,64,reviewed,us,us
2023-01-17T21:35:28.486Z,43.7849,-105.3471,0,3.3,ml,38,41,1.005,0.37,us,us7000j4zz,2023-03-31T19:46:11.040Z,"12 km ENE of Wright, Wyoming",mining explosion,2.15,1.754,0.044,82,reviewed,us,us
2023-01-13T18:59:38.269Z,43.8071,-105.306,0,3.1,ml,32,60,0.969,0.49,us,us7000j494,2023-03-20T06:03:37.040Z,"16 km ENE of Wright, Wyoming",mining explosion,5.79,1.767,0.042,74,reviewed,us,us
2023-01-11T22:58:13.394Z,43.7828,-105.3787,0,3.4,ml,33,59,1.027,0.3,us,us7000j3sc,2023-03-20T06:03:24.040Z,"9 km ENE of Wright, Wyoming",mining explosion,2.42,1.754,0.044,80,reviewed,us,us
2023-01-09T19:11:17.547Z,43.7876,-105.3309,0,3.4,ml,10,100,0.993,0.34,us,us7000j39g,2023-03-20T06:03:08.040Z,"Wyoming",mining explosion,3.88,1.622,0.042,76,reviewed,us,us
2023-01-06T21:34:44.291Z,43.7374,-105.2726,0,3.4,ml,22,71,0.972,0.72,us,us7000j2nk,2023-03-11T22:51:43.040Z,"Wyoming",mining explosion,5.85,1.76,0.043,72,reviewed,us,us
2023-01-06T18:25:44.843Z,47.5429,-92.7329,0,3,ml,25,79,0.928,1,us,us7000j2m3,2023-03-11T22:51:43.040Z,"3 km N of Kinney, Minnesota",mining explosion,4.93,1.951,0.105,12,reviewed,us,us
2023-01-04T18:59:38.592Z,43.6984,-105.3634,0,3.4,ml,18,71,1.048,0.82,us,us7000j24u,2023-03-11T22:51:39.040Z,"11 km ESE of Wright, Wyoming",mining explosion,4.49,0.979,0.045,64,reviewed,us,us
2023-01-04T18:04:26.544Z,47.5257,-92.5739,0,2.8,ml,9,106,1.155,1,us,us7000j47i,2023-03-11T22:51:50.040Z,"0 km SSE of Parkville, Minnesota",mining explosion,3.8,1.879,0.115,10,reviewed,us,us
2023-01-02T19:02:17.679Z,43.8095,-105.2956,0,3.3,ml,14,83,0.962,0.49,us,us7000j1na,2023-03-11T22:51:33.040Z,"17 km ENE of Wright, Wyoming",mining explosion,7.53,1.674,0.05,52,reviewed,us,us
2022-12-27T17:52:50.643Z,45.1415,-106.8972,0,3.1,ml,26,87,1.617,0.65,us,us7000j0eq,2023-03-07T18:59:53.040Z,"33 km NE of Ranchester, Wyoming",mining explosion,5.48,1.798,0.046,61,reviewed,us,us
2022-12-26T20:07:41.362Z,43.7306,-105.345,0,3.3,ml,18,78,1.023,0.56,us,us6000jbu4,2023-03-07T18:59:51.040Z,"12 km E of Wright, Wyoming",mining explosion,7.77,1.32,0.048,58,reviewed,us,us
2022-12-24T18:58:10.426Z,43.811,-105.3014,0,3.3,ml,59,33,0.965,0.64,us,us6000jbgx,2023-03-07T18:59:46.040Z,"",mining explosion,5.69,1.754,0.04,82,reviewed,us,us
2022-12-23T23:05:14.420Z,43.8491,-105.4089,0,3.2,ml,15,193,2.897,0.41,us,us6000jbct,2023-02-28T23:06:49.040Z,"12 km NNE of Wright, Wyoming",mining explosion,5.78,1.818,0.053,46,reviewed,us,us
2022-12-22T20:09:49.763Z,43.5894,-105.5118,0,3.2,ml,20,82,1.193,0.94,us,us6000jb59,2023-02-28T23:06:45.040Z,"18 km S of Wright, Wyoming",mining explosion,3.3,1.631,0.045,64,reviewed,us,us
2022-12-22T18:05:19.360Z,44.081,-105.3148,0,3.1,ml,13,155,0.922,0.77,us,us6000jb4d,2023-02-28T23:06:45.040Z,"19 km SSE of Sleepy Hollow, Wyoming",mining explosion,5.9,1.846,0.059,38,reviewed,us,us
2022-12-22T17:03:31.619Z,43.9576,-105.2683,0,3.1,ml,14,92,0.904,0.41,us,us6000jb3z,2023-02-28T23:06:45.040Z,"29 km NE of Wright, Wyoming",mining explosion,4.84,1.731,0.052,48,reviewed,us,us
2022-12-17T19:05:33.250Z,43.8629,-105.3249,0,3.1,ml,36,42,0.966,0.76,us,us6000ja1p,2023-02-28T23:06:23.040Z,"18 km NE of Wright, Wyoming",mining explosion,2.12,1.756,0.048,74,reviewed,us,us
2022-12-16T19:02:45.572Z,43.8697,-105.2753,0,3.4,ml,28,61,0.929,0.64,us,us6000j9tk,2023-02-18T22:04:25.040Z,"21 km NE of Wright, Wyoming",mining explosion,4.78,1.68,0.044,69,reviewed,us,us
2022-12-16T18:31:06.937Z,46.0192,-106.8754,0,3.1,ml,25,95,0.808,0.74,us,us6000j9t9,2023-02-18T22:04:25.040Z,"24 km NW of Colstrip, Montana",mining explosion,3.21,1.916,0.051,51,reviewed,us,us
2022-12-15T18:57:51.355Z,45.2315,-106.8024,0,2.8,ml,21,103,1.512,1.17,us,us6000j9iz,2023-02-18T22:04:25.040Z,"24 km WSW of Birney, Montana",mining explosion,5.69,1.778,0.059,38,reviewed,us,us
2022-12-13T14:44:33.959Z,43.7841,-105.3482,0,2.7,ml,10,118,1.006,1.04,us,us6000j9s0,2023-02-18T22:04:25.040Z,"12 km ENE of Wright, Wyoming",mining explosion,6.45,1.762,0.077,22,reviewed,us,us
2022-12-12T20:21:56.994Z,43.6284,-105.1484,0,3.4,ml,15,80,0.943,0.86,us,us6000j8vd,2023-02-18T22:04:25.040Z,"30 km ESE of Wright, Wyoming",mining explosion,5.88,1.703,0.043,72,reviewed,us,us
2022-12-10T19:03:17.187Z,43.7664,-105.3357,0,3.1,ml,19,80,1.004,0.44,us,us6000j8gj,2023-02-18T22:04:25.040Z,"12 km E of Wright, Wyoming",mining explosion,4.5,1.72,0.048,72,reviewed,us,us
2022-12-08T23:00:31.550Z,43.917,-105.4453,0,2.9,ml,15,67,1.037,0.76,us,us6000j81l,2023-02-11T23:03:18.040Z,"18 km NNE of Wright, Wyoming",mining explosion,4.35,1.548,0.057,40,reviewed,us,us
2022-12-08T20:01:41.309Z,43.6046,-105.3568,0,3.1,ml,15,74,1.086,0.67,us,us6000j802,2023-02-11T23:03:18.040Z,"19 km SSE of Wright, Wyoming",mining explosion,5.05,1.608,0.047,60,reviewed,us,us
2022-12-07T21:09:40.810Z,43.7466,-105.363,0,3,ml,17,79,1.029,0.68,us,us6000j7py,2023-02-11T23:03:14.040Z,"",mining explosion,3.41,1.779,0.049,70,reviewed,us,us
2022-12-06T18:58:39.957Z,43.6774,-105.494,0,2.8,ml,20,76,1.144,0.49,us,us6000j86l,2023-02-11T23:03:21.040Z,"8 km S of Wright, Wyoming",mining explosion,5.1,1.799,0.047,60,reviewed,us,us
2022-12-05T22:10:08.009Z,43.7914,-105.3407,0,3.4,ml,18,82,0.998,0.29,us,us6000j75f,2023-02-11T23:03:09.040Z,"12 km ENE of Wright, Wyoming",mining explosion,5.22,1.738,0.046,78,reviewed,us,us
2022-12-03T18:39:54.751Z,43.7561,-105.3592,0,3.4,ml,57,38,1.023,0.8,us,us6000j6q7,2023-02-11T23:03:04.040Z,"10 km E of Wright, Wyoming",mining explosion,6.05,1.797,0.042,74,reviewed,us,us
2022-12-02T22:11:18.114Z,43.7597,-105.3037,0,3.2,ml,14,80,0.985,0.27,us,us6000j7me,2023-02-05T23:26:11.040Z,"15 km E of Wright, Wyoming",mining explosion,3.01,1.712,0.049,54,reviewed,us,us
2022-12-02T18:50:01.341Z,45.1838,-106.8484,0,3.3,ml,43,51,1.567,0.68,us,us6000j6eg,2023-02-05T23:26:08.040Z,"30 km WSW of Birney, Montana",mining explosion,4.08,1.547,0.048,57,reviewed,us,us
2022-11-30T21:05:35.378Z,43.802,-105.3445,0,3.3,ml,40,41,0.997,0.66,us,us6000j5v8,2023-02-05T23:25:38.040Z,"13 km ENE of Wright, Wyoming",mining explosion,5.74,1.747,0.044,82,reviewed,us,us
2022-11-29T20:14:27.569Z,43.8121,-105.4315,0,3.4,ml,8,180,1.054,0.95,us,us6000j5ld,2023-02-05T23:25:17.040Z,"8 km NE of Wright, Wyoming",mining explosion,4.77,1.798,0.045,64,reviewed,us,us
2022-11-27T19:06:55.076Z,43.7465,-105.3025,0,3.3,ml,10,79,0.989,0.37,us,us7000issd,2023-02-05T23:24:22.040Z,"15 km E of Wright, Wyoming",mining explosion,4.16,1.048,0.077,22,reviewed,us,us
2022-11-23T23:03:21.216Z,44.2499,-105.4587,0,2.6,ml,17,167,1.032,0.45,us,us7000it1i,2023-01-30T06:01:23.040Z,"3 km NNE of Antelope Valley-Crestview, Wyoming",mining explosion,9.19,1.875,0.06,40,reviewed,us,us
2022-11-23T21:02:27.169Z,43.75,-105.3449,0,3.4,ml,39,41,1.016,0.67,us,us7000irwr,2023-01-30T06:01:21.040Z,"Wyoming",mining explosion,6.26,1.925,0.046,81,reviewed,us,us
2022-11-23T17:29:40.543Z,45.7945,-106.7533,0,3,ml,26,97,0.967,0.47,us,us7000irvb,2023-01-30T06:01:18.040Z,"14 km SW of Colstrip, Montana",mining explosion,4.29,1.827,0.059,38,reviewed,us,us
2022-11-23T16:34:53.205Z,45.9431,-106.587,0,3.1,ml,16,115,0.787,0.34,us,us7000iru7,2023-01-30T06:01:17.040Z,"7 km NNE of Colstrip, Montana",mining explosion,4.36,1.383,0.059,38,reviewed,us,us
2022-11-21T20:35:34.636Z,45.2583,-106.835,0,2.8,ml,24,66,1.493,1.08,us,us7000ire0,2023-01-30T06:00:39.040Z,"26 km WSW of Birney, Montana",mining explosion,4.96,1.721,0.055,44,reviewed,us,us
2022-11-17T20:57:47.314Z,43.8182,-105.2302,0,3.4,ml,18,75,0.914,0.38,us,us7000iqjc,2023-01-28T19:58:23.040Z,"Wyoming",mining explosion,6.85,1.114,0.044,68,reviewed,us,us
2022-11-16T23:29:37.084Z,43.7499,-105.3376,0,2.8,ml,16,79,1.011,0.34,us,us7000iq8x,2023-01-28T19:58:20.040Z,"12 km E of Wright, Wyoming",mining explosion,3.63,1.707,0.053,46,reviewed,us,us
2022-11-15T23:18:39.580Z,43.6397,-105.3207,0,2.8,ml,16,123,1.046,0.57,us,us7000ipzj,2023-01-28T19:58:18.040Z,"18 km SE of Wright, Wyoming",mining explosion,2.27,1.592,0.049,56,reviewed,us,us
2022-11-15T21:31:37.345Z,43.7598,-105.3002,0,3.2,ml,20,80,0.982,0.46,us,us7000ipye,2023-01-28T19:58:17.040Z,"15 km E of Wright, Wyoming",mining explosion,4.26,1.619,0.044,78,reviewed,us,us
2022-11-15T18:58:55.813Z,43.8047,-105.3078,0,3.1,ml,38,51,0.971,0.91,us,us7000ipxc,2023-01-28T19:58:17.040Z,"15 km ENE of Wright, Wyoming",mining explosion,3.11,1.743,0.04,82,reviewed,us,us
2022-11-13T20:15:09.304Z,43.6265,-105.248,0,3.1,ml,9,121,1.006,0.19,us,us7000ipi0,2023-01-28T19:58:12.040Z,"24 km SE of Wright, Wyoming",mining explosion,3.43,1.739,0.091,16,reviewed,us,us
2022-11-13T20:06:33.625Z,43.824,-105.2226,0,3.3,ml,10,83,0.907,0.8,us,us7000iphw,2023-01-28T19:58:12.040Z,"23 km ENE of Wright, Wyoming",mining explosion,4.37,1.795,0.056,42,reviewed,us,us
2022-11-12T20:17:16.739Z,44.3785,-105.5276,0,2.5,ml,13,114,1.102,0.31,us,us7000iqgh,2023-01-28T19:58:22.040Z,"9 km NNW of Gillette, Wyoming",mining explosion,4.84,1.83,0.085,18,reviewed,us,us
2022-11-07T18:40:29.640Z,45.0921,-106.9013,0,3.1,ml,14,98,1.666,0.74,us,us7000in4x,2023-01-21T19:27:06.040Z,"29 km NE of Ranchester, Wyoming",mining explosion,3.49,1.033,0.045,64,reviewed,us,us
2022-11-05T20:01:49.462Z,43.7797,-105.338,0,3.2,ml,17,81,1,0.5,us,us7000imrn,2023-01-21T19:27:06.040Z,"12 km ENE of Wright, Wyoming",mining explosion,4.34,1.74,0.051,66,reviewed,us,us
2022-11-03T20:02:02.461Z,43.822,-105.3672,0,3.2,ml,19,77,1.007,1,us,us7000imah,2023-01-12T23:10:21.040Z,"Wyoming",mining explosion,7.12,1.652,0.045,64,reviewed,us,us
2022-10-31T19:11:06.002Z,43.6105,-105.2577,0,3.3,ml,14,77,1.021,0.48,us,us7000iljs,2023-01-12T23:10:20.040Z,"24 km SE of Wright, Wyoming",mining explosion,4.66,1.743,0.046,62,reviewed,us,us
